id,src,tgt
0,"galatasaray , deplasman da devirdiği fransız rakibi nantes önün de oyunu riske etmedi .","galatasaray , deplasmanda devirdiği fransız rakibi nantes önünde oyunu riske etmedi ."
1,lazionun galibiyeti ile ekibimiz grubun da liderliğe yükseldi,lazionun galibiyeti ile ekibimiz grubunda liderliğe yükseldi
2,"abd , türkiyeye destek için ekonomik paket üzerin de çalışıyor .","abd , türkiyeye destek için ekonomik paket üzerinde çalışıyor ."
3,otomotivde ki son durumu otokoç otomotiv genel müdürü özetledi,otomotivdeki son durumu otokoç otomotiv genel müdürü özetledi
4,"cennet vaadiyle kıyam çağrılarınıda reddetmeliyiz , cehennem seferberliğini reddettiğimiz gibi ...","cennet vaadiyle kıyam çağrılarını da reddetmeliyiz , cehennem seferberliğini reddettiğimiz gibi ..."
5,fenerbahçe kadıköy de üst üste 23. galibiyetini antalyaspor karşısın da 3 2 ile aldı .,fenerbahçe kadıköyde üst üste 23. galibiyetini antalyaspor karşısında 3 2 ile aldı .
6,"nbc ve senatoya gönderilen şarbonlu mektuplarda ki yazıları inceleyen adli̇ uzmanlar , suçlunun profilini çıkardı","nbc ve senatoya gönderilen şarbonlu mektuplardaki yazıları inceleyen adli̇ uzmanlar , suçlunun profilini çıkardı"
7,"amerikayı , erkek asker ve depresyon da","amerikayı , erkek asker ve depresyonda"
8,"derbiler de kimin şansı tutuyor , i̇nönü kime daha çok yarıyor ?","derbilerde kimin şansı tutuyor , i̇nönü kime daha çok yarıyor ?"
9,"aşkın nur yengi , aşk ilişkisin de yaşadığı tatsız olaylar yüzünden 4 5 kilo verdiğini söylüyor","aşkın nur yengi , aşk ilişkisinde yaşadığı tatsız olaylar yüzünden 4 5 kilo verdiğini söylüyor"
10,tbmm de son durum !,tbmmde son durum !
11,dspde ki istifa depremi ile tbmm de partilerin sandalye dağılımı her saat değişiyor .,dspdeki istifa depremi ile tbmmde partilerin sandalye dağılımı her saat değişiyor .
12,i̇şte tbmmde ki son durum ...,i̇şte tbmmdeki son durum ...
13,türkiye de yaşanan siyasi gelişmeler dünya basını tarafındanda ilgiyle izleniyor .,türkiyede yaşanan siyasi gelişmeler dünya basını tarafından da ilgiyle izleniyor .
14,bugün yayınlanan gazeteler dede çeşitli haber ve yorumlar çıktı .,bugün yayınlanan gazetelerde de çeşitli haber ve yorumlar çıktı .
15,brezilyalı süper star conceiçaonun hafta için de i̇stanbul ’ a gelerek imza atacağı belirtiliyor ...,brezilyalı süper star conceiçaonun hafta içinde i̇stanbul’a gelerek imza atacağı belirtiliyor ...
16,"i̇smail cem , bugün gazetecilerle meclis de konuştu .","i̇smail cem , bugün gazetecilerle mecliste konuştu ."
17,seçimlerden birinci parti olarak çıkan dspde ki erime bugünde devam etti .,seçimlerden birinci parti olarak çıkan dspdeki erime bugün de devam etti .
18,"bugün gelen iki istifadan sonra dspnin tbmmde ki koltuk sayısı 82ye düştü , anapla fark azaldı","bugün gelen iki istifadan sonra dspnin tbmmdeki koltuk sayısı 82ye düştü , anapla fark azaldı"
19,ve hastane de yaşamını yitirdi ...,ve hastanede yaşamını yitirdi ...
20,kel kalsamda kendimi beğeniyorum,kel kalsam da kendimi beğeniyorum
21,"i̇smi vanja rupona , 24 yaşın da ...","i̇smi vanja rupona , 24 yaşında ..."
22,türkiye de siyaset kemal dervişin vereceği karara göre belirlenecek .,türkiyede siyaset kemal dervişin vereceği karara göre belirlenecek .
23,türkiyenin birbirinden önemli günlük sorunları arasın da rahşan ecevit şebinkarahisarın il yapılması için uğraşıyor .,türkiyenin birbirinden önemli günlük sorunları arasında rahşan ecevit şebinkarahisarın il yapılması için uğraşıyor .
24,kudüste ki yahudi üniversitesin de öğle saatlerin de yeni bir bombalı intihar eylemi gerçekleşti .,kudüsteki yahudi üniversitesinde öğle saatlerinde yeni bir bombalı intihar eylemi gerçekleşti .
25,"saldırı da en az 7 kişi öldü , 9u ağır 50yi aşkın yaralı var ...","saldırıda en az 7 kişi öldü , 9u ağır 50yi aşkın yaralı var ..."
26,süper benzin üretiminede 2012 yılın da son verilerek sadece tek tip kurşunsuz üretilecek,süper benzin üretimine de 2012 yılında son verilerek sadece tek tip kurşunsuz üretilecek
27,özel yaşamıda sorunlu .,özel yaşamı da sorunlu .
28,amerika da kurtarıldıktan sonra ikinci kez kıyıya vuran pilot balinalara ötanazi uygulandı .,amerikada kurtarıldıktan sonra ikinci kez kıyıya vuran pilot balinalara ötanazi uygulandı .
29,başlıkta ki soru the guardian gazetesini ait .,başlıktaki soru the guardian gazetesini ait .
30,tam 73 yaşın da .,tam 73 yaşında .
31,hava sıcaklığı gün için de gölge de 40 dereceyi çok geriler de bırakıyor .,hava sıcaklığı gün içinde gölgede 40 dereceyi çok gerilerde bırakıyor .
32,sizde eğer antalyaya tatile gitmeyi düşünüyorsanız müthiş sıcağa hazırlıklı olun ...,siz de eğer antalyaya tatile gitmeyi düşünüyorsanız müthiş sıcağa hazırlıklı olun ...
33,transfer de son durum ...,transferde son durum ...
34,"yazarımız mehmet ali birand , kürtçe eğitim istemli dilekçeler karşısın da türkiyenin tuzağa düştüğünü söylüyor .","yazarımız mehmet ali birand , kürtçe eğitim istemli dilekçeler karşısında türkiyenin tuzağa düştüğünü söylüyor ."
35,balıkesir de tecavüz edilip öldürülen liseli kızın babası ateş püskürüyor,balıkesirde tecavüz edilip öldürülen liseli kızın babası ateş püskürüyor
36,"bu , çin de eşcinseller için ilk kez yayımlanan derginin adı ...","bu , çinde eşcinseller için ilk kez yayımlanan derginin adı ..."
37,derginin yayın hayatına başlaması çin de yeni bir döneme işaret ediyor .,derginin yayın hayatına başlaması çinde yeni bir döneme işaret ediyor .
38,derginin için de neler var ?,derginin içinde neler var ?
39,amerika da tüketiciyi yeterince uyarmayan firmalar için tazminat davaları açılınca garip etiketler ortaya çıktı ...,amerikada tüketiciyi yeterince uyarmayan firmalar için tazminat davaları açılınca garip etiketler ortaya çıktı ...
40,dokular da yaşlılığı hızlandıran bir protein ortaya çıkarıldı .,dokularda yaşlılığı hızlandıran bir protein ortaya çıkarıldı .
41,şimdi araştırmalar bu protein üzerin de yoğunlaştırıldı .,şimdi araştırmalar bu protein üzerinde yoğunlaştırıldı .
42,sinemalar da oynayan tüm filmlerin değerlendirmesi ve seanslar için tıklayın ...,sinemalarda oynayan tüm filmlerin değerlendirmesi ve seanslar için tıklayın ...
43,"tüsi̇ad başkanı tuncay özilhan , bugün yaptığı konuşma da yine siyasete yüklendi ve yolsuzluklardan yakındı","tüsi̇ad başkanı tuncay özilhan , bugün yaptığı konuşmada yine siyasete yüklendi ve yolsuzluklardan yakındı"
44,sorumlulardan biride türkiyede ki kriz ...,sorumlulardan biri de türkiyedeki kriz ...
45,seda kayanında rol alacağı dizinin senaryosunu gani müjde yazıyor ...,seda kayanın da rol alacağı dizinin senaryosunu gani müjde yazıyor ...
46,kaç şiddetinde ki deprem evimizi nasıl sallar ?,kaç şiddetindeki deprem evimizi nasıl sallar ?
47,abd de kaçak olarak yaşayan çok sayı da türk olduğu belirtiliyor,abdde kaçak olarak yaşayan çok sayıda türk olduğu belirtiliyor
48,i̇nterpol tarafından kırmızı bültenle aranan orhan aslıtürk miami havaalanın da fbi tarafından gözaltın da alındı .,i̇nterpol tarafından kırmızı bültenle aranan orhan aslıtürk miami havaalanında fbi tarafından gözaltında alındı .
49,amerikan finans çevrelerinin gazetesi wall street journal da türk modeli başlıklı önemli bir yorum yeraldı .,amerikan finans çevrelerinin gazetesi wall street journalda türk modeli başlıklı önemli bir yorum yeraldı .
50,bura da çalışan bir kişi gün de en az 20 30 müşteri alıyor,burada çalışan bir kişi günde en az 20 30 müşteri alıyor
51,"belçika güzellik komitesi , van esenin tavır değiştirmediği takdir de unvanını kaybedeceğini açıklamıştı","belçika güzellik komitesi , van esenin tavır değiştirmediği takdirde unvanını kaybedeceğini açıklamıştı"
52,"pratt , olay yerine gelen polislerede saldırdı !","pratt , olay yerine gelen polislere de saldırdı !"
53,"büyüme oranı yüz de 5 , bütçe açığı ise 46,8 katrilyon lira olarak hedeflendi","büyüme oranı yüzde 5 , bütçe açığı ise 46,8 katrilyon lira olarak hedeflendi"
54,"tugay , hakan , tayfur , ergün ve arif sırada ki isimler","tugay , hakan , tayfur , ergün ve arif sıradaki isimler"
55,son dönem de yaşanan kavgalar psikolojik sorunlardan kaynaklanıyor .,son dönemde yaşanan kavgalar psikolojik sorunlardan kaynaklanıyor .
56,"i̇zmir atatürk statındı oynanan maç da göztepe , galatasarayı liderlikten etti .","i̇zmir atatürk statındı oynanan maçta göztepe , galatasarayı liderlikten etti ."
57,peki yinede risk var mı ?,peki yine de risk var mı ?
58,hava sıcaklıkları mevsim normallerinin üzerin de seyretmeye devam edecek,hava sıcaklıkları mevsim normallerinin üzerinde seyretmeye devam edecek
59,yılbaşın da tedavüle giren 10 euro’luk banknotlar da sağlığa zararlı oran da kalay bulundu .,yılbaşında tedavüle giren 10 euro’luk banknotlarda sağlığa zararlı oranda kalay bulundu .
60,"fenerbahçeyi ünlü futbolcu uchenin kartal dragosta ki evi , kimliği belirlenemeyen kişi veya kişilerce soyuldu .","fenerbahçeyi ünlü futbolcu uchenin kartal dragostaki evi , kimliği belirlenemeyen kişi veya kişilerce soyuldu ."
61,uyanıklıkda yetmedi !,uyanıklık da yetmedi !
62,cem uzan seçim dönemin de müthiş bir kampanya yürüttü .,cem uzan seçim döneminde müthiş bir kampanya yürüttü .
63,galatasaray da zor günler yaşanıyor .,galatasarayda zor günler yaşanıyor .
64,rum basınıda ziyarete geniş yer ayırıyor ...,rum basını da ziyarete geniş yer ayırıyor ...
65,"kocası ile kavga edince sinirlenip dışarı çıktı , kapının önünde ki otomobilini ateşe verdi .","kocası ile kavga edince sinirlenip dışarı çıktı , kapının önündeki otomobilini ateşe verdi ."
66,"galatasaray başkanı canaydının , maç da golleri alkışlaması ve aziz yıldırımı tebrik etmesi tartışılıyor .","galatasaray başkanı canaydının , maçta golleri alkışlaması ve aziz yıldırımı tebrik etmesi tartışılıyor ."
67,dünya da son yıllar da yaygınlaşan bir turizm türü türkiye dede denenecek .,dünyada son yıllarda yaygınlaşan bir turizm türü türkiyede de denenecek .
68,budapeşteye düzenlenen tura yaşları 25 ile 40 arasında ki 15 kadın ve 15 erkek katılabilecek .,budapeşteye düzenlenen tura yaşları 25 ile 40 arasındaki 15 kadın ve 15 erkek katılabilecek .
69,"özel tura katılanlar , beş yıldızlı bir otel de iki kişilik oda da tek başlarına kalacak .","özel tura katılanlar , beş yıldızlı bir otelde iki kişilik odada tek başlarına kalacak ."
70,çadırlar anadolu ve asya yakasında ki iki ayrı depo da saklanacak ...,çadırlar anadolu ve asya yakasındaki iki ayrı depoda saklanacak ...
71,helikopter de bulunan askerlerin hepsinin öldüğü belirtiliyor,helikopterde bulunan askerlerin hepsinin öldüğü belirtiliyor
72,"milano derbisin de milan , i̇nter karşısın da sahadan 1 0 mağlup ayrıldı .","milano derbisinde milan , i̇nter karşısında sahadan 1 0 mağlup ayrıldı ."
73,milano da bulunan fatih terimde eski takımının maçını tribünden seyretti,milanoda bulunan fatih terim de eski takımının maçını tribünden seyretti
74,i̇kiside takımlarını sırtlıyor .,i̇kisi de takımlarını sırtlıyor .
75,hava sıcaklıkları önümüzde ki günlerden itibaren 20 derecenin üzerine çıkacak ...,hava sıcaklıkları önümüzdeki günlerden itibaren 20 derecenin üzerine çıkacak ...
76,bir eylem planıda hazırladılar .,bir eylem planı da hazırladılar .
77,haftasonu lig de galatasaray ile beşiktaş derbisi var .,haftasonu ligde galatasaray ile beşiktaş derbisi var .
78,yeşil sahadan önce borsada ki kapışma dikkat çekti .,yeşil sahadan önce borsadaki kapışma dikkat çekti .
79,i̇ki kulübün hisseside bugün dibe vurdu,i̇ki kulübün hissesi de bugün dibe vurdu
80,henüz 36 yaşın da bir türk yönetmen .,henüz 36 yaşında bir türk yönetmen .
81,kendisini hollywood da buldu .,kendisini hollywoodda buldu .
82,i̇kiside iniş de !,i̇kisi de inişte !
83,yaş toplantısın da alınan kararlar cumhurbaşkanı sezer tarafından onaylandı .,yaş toplantısında alınan kararlar cumhurbaşkanı sezer tarafından onaylandı .
84,kara kuvvetleri komutanlığınca ise sürpriz bir şekil de jandarma genel komutanı org yalman atandı .,kara kuvvetleri komutanlığınca ise sürpriz bir şekilde jandarma genel komutanı org yalman atandı .
85,bir süredir yüzleri güldüren enflasyonun temmuz da yükselme eğilimine girdiği görüldü .,bir süredir yüzleri güldüren enflasyonun temmuzda yükselme eğilimine girdiği görüldü .
86,ancak takımda ki sakatlar hızla iyileşiyor .,ancak takımdaki sakatlar hızla iyileşiyor .
87,uyum paketi görüşmelerini brükselde merakla bekledi .,uyum paketi görüşmelerini brüksel de merakla bekledi .
88,tansu çiller partisinin seçim kampanyasın da kullanacağı marş için söz yazdı .,tansu çiller partisinin seçim kampanyasında kullanacağı marş için söz yazdı .
89,derviş’e bazı şirketleri kurtarması için baskı yapan milletvekillerinin isimleri özel kallem’in de kayıtlı ...,derviş’e bazı şirketleri kurtarması için baskı yapan milletvekillerinin isimleri özel kallem’inde kayıtlı ...
90,"toplumun tüm katmanların da etkisi hissedilen ekonomik kriz , sanat dünyasınıda etkiliyor .","toplumun tüm katmanlarında etkisi hissedilen ekonomik kriz , sanat dünyasını da etkiliyor ."
91,bu durumdan en çok etkilenenlerden biride ünlü popçu çelik oldu ...,bu durumdan en çok etkilenenlerden biri de ünlü popçu çelik oldu ...
92,"beşiktaş , rize karşısın da öldü öldü dirildi .","beşiktaş , rize karşısında öldü öldü dirildi ."
93,i̇nönü ’de yine fevzi dramı yaşandı ...,i̇nönü’de yine fevzi dramı yaşandı ...
94,varyag kontrol altın da !,varyag kontrol altında !
95,"sürüklenen varyag , atılan ikinci halatında römorköre bağlanması sonucu kontrol altına alındı .","sürüklenen varyag , atılan ikinci halatın da römorköre bağlanması sonucu kontrol altına alındı ."
96,birde iyi haber !,bir de iyi haber !
97,şemsiyelerinizi ev de bırakmayın ...,şemsiyelerinizi evde bırakmayın ...
98,bugünden geçerli olmak üzere akaryakıt ürünlerinin i̇stanbulun avrupa yabasın da yeni perakende satış fiyatları için ...,bugünden geçerli olmak üzere akaryakıt ürünlerinin i̇stanbulun avrupa yabasında yeni perakende satış fiyatları için ...
99,i̇kiside gençti .,i̇kisi de gençti .
100,geri de bir cep mesajı kaldı ...,geride bir cep mesajı kaldı ...
101,maç da terim sinirliydi ...,maçta terim sinirliydi ...
102,türkiyenin afganistana asker gönderme kararı i̇ngiliz basının dada geniş yer buldu .,türkiyenin afganistana asker gönderme kararı i̇ngiliz basınında da geniş yer buldu .
103,afganistan da bugün cuma hutbesin de imamlar türkiyenin asker gönderme kararına olan kızgınlarını dile getirdi .,afganistanda bugün cuma hutbesinde imamlar türkiyenin asker gönderme kararına olan kızgınlarını dile getirdi .
104,"20 milyon liralık banknot , 76x162 milimetre boyutun da ve yeşil renkli ...","20 milyon liralık banknot , 76x162 milimetre boyutunda ve yeşil renkli ..."
105,dünya hala frankfurt otomobil fuarın da sergilenen rüya otomobilleri konuşuyor .,dünya hala frankfurt otomobil fuarında sergilenen rüya otomobilleri konuşuyor .
106,çikolata giysi iyide,çikolata giysi iyi de
107,ah birde erimese ...,ah bir de erimese ...
108,"modanın kalbinin attığı parisde , çikolatadan elbise ve bikiniler göz kamaştırdı .","modanın kalbinin attığı paris’te , çikolatadan elbise ve bikiniler göz kamaştırdı ."
109,türkiyenin doğal yapısı içerisin de başörtüsü yabancı bir unsur değildir .,türkiyenin doğal yapısı içerisinde başörtüsü yabancı bir unsur değildir .
110,minik gözlerde ki korku !,minik gözlerdeki korku !
111,bugünde çıkan yangın da iki prefabrik konut tamamen yandı .,bugün de çıkan yangında iki prefabrik konut tamamen yandı .
112,şeker bayramı yaklaşırken evlerde ki telaşda arttı .,şeker bayramı yaklaşırken evlerdeki telaş da arttı .
113,ancak mehmet televizyonda ki maçlara ilgi gösteriyordu .,ancak mehmet televizyondaki maçlara ilgi gösteriyordu .
114,ayasofya 15 yüzyıl boyunca şiddetli depremlere karşın hala dimdik ayak da .,ayasofya 15 yüzyıl boyunca şiddetli depremlere karşın hala dimdik ayakta .
115,"almanyanın ön de gelen gazeteleri , türkiyede ki siyasal gelişmeleri yakından izliyor .","almanyanın önde gelen gazeteleri , türkiyedeki siyasal gelişmeleri yakından izliyor ."
116,modanın öncüleride milletvekilleri ...,modanın öncüleri de milletvekilleri ...
117,"taksim meydanın da , sütaş adlı restoranın çatısın da çıkan yangın heyecan yarattı .","taksim meydanında , sütaş adlı restoranın çatısında çıkan yangın heyecan yarattı ."
118,sonun da itiraf etti !,sonunda itiraf etti !
119,son duruşma da itiraf etti,son duruşmada itiraf etti
120,yöneticide tuttu icraya verdi .,yönetici de tuttu icraya verdi .
121,"ve sonuç da silahlar patladı , bir ölü ...","ve sonuçta silahlar patladı , bir ölü ..."
122,varşova da yapılan halter şampiyonasınca kadınların amansız mücadelesi ilgiyle izlendi .,varşovada yapılan halter şampiyonasınca kadınların amansız mücadelesi ilgiyle izlendi .
123,ülkemiz de tanınmayan ancak dünya da geniş izleyici kitlesi olan sporlardan biride kriket .,ülkemizde tanınmayan ancak dünyada geniş izleyici kitlesi olan sporlardan biri de kriket .
124,hafta sonun da oynanan maçlardan ilginç fotoğraflar ...,hafta sonunda oynanan maçlardan ilginç fotoğraflar ...
125,abd de türk bayramı !,abdde türk bayramı !
126,"galatasaray , kendi evin de oynadığı maç da trabzonsporu üç golle devirdi .","galatasaray , kendi evinde oynadığı maçta trabzonsporu üç golle devirdi ."
127,lig de yenilmezliğini sürdürürken liderliğini korudu .,ligde yenilmezliğini sürdürürken liderliğini korudu .
128,"kanarya , malatyaspor deplasmanın da abdullah ve anderssonun golleriyle galip geldi","kanarya , malatyaspor deplasmanında abdullah ve anderssonun golleriyle galip geldi"
129,i̇stanbul ’da bir garip yapı .,i̇stanbul’da bir garip yapı .
130,"i̇ki köşesinde ki minaresi , altında ki cami ve başörtülü öğrencileri ...","i̇ki köşesindeki minaresi , altındaki cami ve başörtülü öğrencileri ..."
131,00 de yeniden 1 saat geri alacağız ...,00de yeniden 1 saat geri alacağız ...
132,"antalya rus , alman ve i̇sraili turistlerden sonra şimdide i̇ranla konuklarını ağırlamaya başladı .","antalya rus , alman ve i̇sraili turistlerden sonra şimdi de i̇ranla konuklarını ağırlamaya başladı ."
133,oran da kapanan kadınlar türkiye de rahat ettiklerini söylüyorlar,oranda kapanan kadınlar türkiyede rahat ettiklerini söylüyorlar
134,bilim adamlarıda şaşırdı !,bilim adamları da şaşırdı !
135,kemer de konser verecek olan tarkanın kalacağı o da yeniden düzenlendi .,kemerde konser verecek olan tarkanın kalacağı oda yeniden düzenlendi .
136,okul yılların da arkadaşlık ettiği gencin tecavüzüne uğramıştı .,okul yıllarında arkadaşlık ettiği gencin tecavüzüne uğramıştı .
137,ancak evlendikten sonrada takibinden kurtulamadı .,ancak evlendikten sonra da takibinden kurtulamadı .
138,i̇ki erkekde ondan vazgeçmiyordu .,i̇ki erkek de ondan vazgeçmiyordu .
139,şimdi ikisininde 30 yıl hapsi isteniyor,şimdi ikisinin de 30 yıl hapsi isteniyor
140,cinayet de sis perdesi !,cinayette sis perdesi !
141,i̇talyan çevre uzmanları akdeniz de su sıcaklığının son 3000 yılın en yüksek seviyesine ulaştığını açıkladı .,i̇talyan çevre uzmanları akdenizde su sıcaklığının son 3000 yılın en yüksek seviyesine ulaştığını açıkladı .
142,samsun da 14 yaşında ki h .,samsunda 14 yaşındaki h .
143,denizlinin buldan ilçesin de bu sabaha karşı 4 büyüklüğün de bir deprem meydana geldi .,denizlinin buldan ilçesinde bu sabaha karşı 4 büyüklüğünde bir deprem meydana geldi .
144,deprem denizli ve çevresin de korku yarattı,deprem denizli ve çevresinde korku yarattı
145,bursasporun gol kralı yıldızı geceyarısı operasyonuyla ikna edilerek kulübün de kaldı .,bursasporun gol kralı yıldızı geceyarısı operasyonuyla ikna edilerek kulübünde kaldı .
